name,latitude,longitude,link,content
Akili Dada,-0.17,37.49,http://www.akilidada.org/,"71 academically gifted girls accessed high school education. Alumnae, scholars and fellows gain leadership skills."
ASFOP,12.57,-2.16,https://www.facebook.com/teegawende,20 disable children got education. Children receive proper schooling.
Batsiranai,-17.51,31.1,http://batsiranai.com/,"Children receive proper schooling. Learning to read, write and do math"
Bitone Children's Center and Troupe,1.08,31.34,http://bitonetroupe.blogspot.com/,"Help kids stay in school, graduate and get better grades"
CAMME (Center to Help Exploited Youth),-1.41,28.14,http://cammedrcongo.org/,Children who developed marketable skills can better thrive
El Shadai,0.25,34.12,http://www.elshaddaichildrenshome.org/,"Children can continue education, where as they couldn't before. Improved self-esteem and life skills. "
Foot2Afrika,-4.2,37.2,http://www.foot2afrika.org/com,
Hlomelikusasa,-30.55,28.58,http://oneworldchildrensfund.org/projects/hlomelikusasa,Most children can read and write. 14 are educated
Ilela and Ngelenge School Committees,-10.3,34.36,http://oneworldchildrensfund.org/index.php/search-results/?search_paths%5B%5D=&query=Ilela+and+Ngelenge+School+Committees&submit=Search,Improvement of classrooms. Improvement of teacher homes. Safer learning enviroment.
Khulani Special School,-29.31,30.53,http://khulanischool.co.za/,Educators know basic sign language and able to commnicate better with learners. Children receive education.
Kusoma International (LMEF),-1.2,34.55,http://lmefoundation.org/index.html,Library construction. 6 scholars finished high school last year.
Nkomo CBO,-27.31,30.53,http://nkomoprimaryschool.org/index.html,
PING,-24.39,25.54,http://www.pingsite.org/,Teens are competent in basic use of computer
Precious Life Foundation,-20.7,28.37,https://www.facebook.com/pages/Precious-Life-Foundation/244169782279664,
Siyazigabisa Home of Hope,-26,28.12,http://www.siyazigabisa.co.za/,Rise in students' school marks
St Vincent's Children of Kibera,-1.17,36.49,http://www.kiberachildren.org/,
Tinga Tinga Secondary School,-3.22,35.41,https://www.facebook.com/tingatingasecondaryschool/timeline,Childrens' school progress increased. Children with disabilites were enrolled in special school.
Tunaweza Fund (KCBRP),-2.3,31.59,http://kcbrptanzania.wordpress.com/2013/04/20/vision-mission-and-core-values-of-kcbrp/,
Zambian Institute for Sustainable Development (ZISD),-15.25,28.16,http://zisd10101.com/,
