name,latitude,longitude,link,content
Build a School in Burma,22.2,98.8,http://www.buildaschoolinburma.org/,Children who never attended school now attend school. Built a new school for 190 kids.
Build a School in India (Mata Balak),17.26,75.11,http://www.buildaschoolinindia.org/,
Familia Hope Orphanage,-8.43,125.26,http://oneworldchildrensfund.org/projects/familia-hope-orphanage/,Children can read and write.
Helen Keller Institute,10.47,76.39,http://helenkellerinstitute.org.in/index.html,
Jagriti Vihara (Hospital for Hope),23.36,85.16,http://www.hospitalforhope.org/,"All children can read or write. More efficient, tolerant, cooperative staff. Improvement in working skills."
Mubarika Campus,32.29,74.31,http://www.mubarikafoundation.com/,Higher retention rate for teachers. Building repairs and new furniture for classroms. Increased and safer access to education.
Nari Jagran Manch,24,86.28,http://oneworldchildrensfund.org/projects/nari-jagran-manch/,365 children can read and write
Nirvanavan Foundation,27.33,76.37,http://www.nirvanavan.org.uk/,Better trained teachers to educate students. Migrant children have greater access to school. Number of students enroleld at school with library increased from 170-225.
Pa-O National Development Organization (PNDO),19.17,99.57,https://www.facebook.com/paondomhs,20 stuednts able to attend school. Children have greated access to education. Children able to continue education. Migrant students can attend school and eat 3 meals.
People First Educational Trust,24,83.18,http://www.peoplefirstindia.net/,Basic litearcy and numeracy. Sponsorships to graduation.
Prajna Vihara School,26.5,83.18,http://pvschool.in/,Children from lowest caste receive education. Quality of teachers has improved.
Siva Shanta Mother and Child Health Centre,11.1,76.57,http://www.sivashanthahealthcare.org/index.html,Some children have enrolled in College.
Smaraami Foundation,17.23,78.29,http://oneworldchildrensfund.org/projects/smaraami-foundation/,
Topu Honis Shelter Home,-9.17,124.17,http://www.topuhonis.org/,Residents are able to attend school and increase their quality of life. Residents learn job and life skills that increase quality of life.
Zakat Foundation of India,28.38,77.13,http://www.zakatindia.org/,Children completing education.
Akili Dada,-0.17,37.49,http://www.akilidada.org/,"71 academically gifted girls accessed high school education. Alumnae, scholars and fellows gain leadership skills."
ASFOP,12.57,-2.16,https://www.facebook.com/teegawende,20 disable children got education. Children receive proper schooling.
Batsiranai,-17.51,31.1,http://batsiranai.com/,"Children receive proper schooling. Learning to read, write and do math"
Bitone Children's Center and Troupe,1.08,31.34,http://bitonetroupe.blogspot.com/,"Help kids stay in school, graduate and get better grades"
CAMME (Center to Help Exploited Youth),-1.41,28.14,http://cammedrcongo.org/,Children who developed marketable skills can better thrive
El Shadai,0.25,34.12,http://www.elshaddaichildrenshome.org/,"Children can continue education, where as they couldn't before. Improved self-esteem and life skills. "
Foot2Afrika,-4.2,37.2,http://www.foot2afrika.org/com,
Hlomelikusasa,-30.55,28.58,http://oneworldchildrensfund.org/projects/hlomelikusasa,Most children can read and write. 14 are educated
Ilela and Ngelenge School Committees,-10.3,34.36,http://oneworldchildrensfund.org/index.php/search-results/?search_paths%5B%5D=&query=Ilela+and+Ngelenge+School+Committees&submit=Search,Improvement of classrooms. Improvement of teacher homes. Safer learning enviroment.
Khulani Special School,-29.31,30.53,http://khulanischool.co.za/,Educators know basic sign language and able to commnicate better with learners. Children receive education.
Kusoma International (LMEF),-1.2,34.55,http://lmefoundation.org/index.html,Library construction. 6 scholars finished high school last year.
Nkomo CBO,-27.31,30.53,http://nkomoprimaryschool.org/index.html,
PING,-24.39,25.54,http://www.pingsite.org/,Teens are competent in basic use of computer
Precious Life Foundation,-20.7,28.37,https://www.facebook.com/pages/Precious-Life-Foundation/244169782279664,
Siyazigabisa Home of Hope,-26,28.12,http://www.siyazigabisa.co.za/,Rise in students' school marks
St Vincent's Children of Kibera,-1.17,36.49,http://www.kiberachildren.org/,
Tinga Tinga Secondary School,-3.22,35.41,https://www.facebook.com/tingatingasecondaryschool/timeline,Childrens' school progress increased. Children with disabilites were enrolled in special school.
Tunaweza Fund (KCBRP),-2.3,31.59,http://kcbrptanzania.wordpress.com/2013/04/20/vision-mission-and-core-values-of-kcbrp/,
Zambian Institute for Sustainable Development (ZISD),-15.25,28.16,http://zisd10101.com/,
Bocas School Project,9.19,-82.15,http://oneworldchildrensfund.org/projects/bocas-school-project/,Expanded from 3 to 6 schools. Children served have tripled in size.
COMPALCIHT Association,11.12,-86.6,http://oneworldchildrensfund.org/projects/compalciht-association/,"Of the kids that graduated from preschool, 98% retention rate in primary schools. Training 40 youth to computing. Training 40 community health workers."
Crea+,-23.33,-46.37,http://creamas.com.br/,"We envision a world where we act together as a global community, to ensure all children have education, healthcare, and a safe home. "
FDEGL,13.32,-85.84,http://oneworldchildrensfund.org/projects/fundacion-denis-ernesto-gonzales-lopez,
Girls to Women,37.28,-122.8,http://www.girlstowomen.org/,Girls have a chance for better education. Provide after school programs and summer program for 45 people. Outdoor education for 45 people.
Global Chalkboard Project (Victor Hugo School),19.27,-72.4,http://www.globalchalkboardproject.com/,"Kids well assimilated to school environment, 65 of them can write. Kids receive education through the Bible."
Partners in Development Foundation (PIDF),21.18,-157.51,http://www.pidf.org/,
P.E.T.I.S.O.S,-41.8,-71.18,http://petisos.org.ar/,100% of students attend classes regularly.
Tadeo Torres,-2.54,-79,http://oneworldchildrensfund.org/projects/tadeo-torres/,Children are supported at school. Children's fine and gross motor skills have improved.
